Simtime (second),gNb,RSSI,gNb,RSSI,gNb,RSSI,gNb,RSSI,gNb,RSSI
1,1,-46.664287,2,-46.989857,3,-29.019834,4,-25.469459,5,-26.193767
2,1,-47.251113,2,-48.499559,3,-30.868645,4,-27.206739,5,-27.84059
3,1,-39.689737,2,-41.861987,3,-24.649257,4,-20.870031,5,-21.408028
4,1,-39.491473,2,-42.471008,3,-25.75528,4,-21.852538,5,-22.289043
5,1,-43.437569,2,-47.114274,3,-30.972465,4,-26.939569,5,-27.268697
6,1,-41.131942,2,-45.403146,3,-29.908813,4,-25.738641,5,-25.954263
7,1,-51.242027,2,-56.013306,3,-41.235478,4,-36.920383,5,-37.016119
8,1,-49.386177,2,-54.571869,3,-40.574223,4,-36.105984,5,-36.07521
9,1,-43.192697,2,-48.716103,3,-35.556505,4,-30.926271,5,-30.762118
10,1,-41.504204,2,-47.297484,3,-35.027868,4,-30.226102,5,-29.921462
11,1,-52.613838,2,-58.617673,3,-47.284203,4,-42.300611,5,-41.848146
12,1,-50.632019,2,-56.795076,3,-46.438535,4,-41.261995,5,-40.654146
13,1,-50.645632,2,-56.923909,3,-47.580239,4,-42.198717,5,-41.427715
14,1,-49.919924,2,-56.276033,3,-47.976972,4,-42.377426,5,-41.435314
15,1,-48.021374,2,-54.423799,3,-47.197567,4,-41.365845,5,-40.244493
16,1,-50.589475,2,-57.01185,3,-50.883844,4,-44.804564,5,-43.495693
17,1,-50.618622,2,-57.039052,3,-52.032521,4,-45.688938,5,-44.184153
18,1,-42.603382,2,-49.003819,3,-45.140519,4,-38.514372,5,-36.805189
19,1,-44.424346,2,-50.790027,3,-48.090835,4,-41.162179,5,-39.240066
20,1,-37.841912,2,-44.160862,3,-42.646358,4,-35.393362,5,-33.249783
