Simtime (second),gNb,RSSI,gNb,RSSI,gNb,RSSI,gNb,RSSI,gNb,RSSI
1,1,-40.863049,2,-44.451583,3,-25.904943,4,-22.212256,5,-22.402793
2,1,-45.566939,2,-48.946203,3,-30.593071,4,-26.998515,5,-27.264922
3,1,-45.701065,2,-48.275193,3,-30.149036,4,-26.652981,5,-26.995433
4,1,-41.394554,2,-43.142704,3,-25.272283,4,-21.87493,5,-22.293503
5,1,-42.128177,2,-43.037673,3,-25.447114,4,-22.148504,5,-22.643172
6,1,-46.511319,2,-46.57778,3,-29.286774,4,-26.086791,5,-26.657426
7,1,-48.863081,2,-48.090423,3,-31.11453,4,-28.01291,5,-28.659284
8,1,-49.333336,2,-47.733645,3,-31.084652,4,-28.080988,5,-28.802771
9,1,-47.618837,2,-45.212121,3,-28.898442,4,-25.992192,5,-26.788955
10,1,-50.205779,2,-47.01959,3,-31.046668,4,-28.237163,5,-29.108377
11,1,-42.10135,2,-38.17027,3,-22.540969,4,-19.827418,5,-20.77246
12,1,-40.448327,2,-35.813295,3,-20.528277,4,-17.909779,5,-18.927928
13,1,-39.794782,2,-34.502275,3,-19.560339,4,-17.035888,5,-18.126334
14,1,-44.189265,2,-38.290329,3,-23.688725,4,-21.257218,5,-22.419059
15,1,-45.065188,2,-38.614343,3,-24.349047,4,-22.009293,5,-23.241544
16,1,-43.718923,2,-36.772986,3,-22.838941,4,-20.589669,5,-21.89126
17,1,-43.835193,2,-36.452057,3,-22.843386,4,-20.68325,5,-22.053034
18,1,-42.221382,2,-34.458824,3,-21.169009,4,-19.096599,5,-20.533354
19,1,-35.641185,2,-27.555757,3,-14.577793,4,-12.591638,5,-14.094073
20,1,-36.035179,2,-27.681227,3,-15.007753,4,-13.106332,5,-14.673091
